linha;Código;marco;junho
1;477;33640;30389
2;515;276;243
3;582;678071;722612
4;701;890000;911115
5;884;7232;7157
6;5711;3075027;3078556
7;6246;2156301;2217466
8;300136;33635;32624
9;300713;32479;32681
10;300870;1;1
11;301060;16411;16819
12;301124;9510;9699
13;301574;53133;53199
14;301728;46447;46343
15;301744;22411;22873
16;302147;556214;548755
17;302228;8128;8310
18;302627;2386;2373
19;302953;91770;97565
20;303178;14687;14559
21;303267;112449;112437
22;303356;98033;102196
23;303623;120128;123646
24;303739;71152;73854
25;303844;15335;15940
26;303976;260008;258909
27;304051;49929;47023
28;304123;15103;15203
29;304131;7746;7879
30;304212;10239;14157
31;304344;24223;24496
32;304395;26193;25872
33;304468;26616;26615
34;304531;11655;11153
35;304701;647610;652558
36;304883;45216;45588
37;305227;26466;26636
38;305472;40148;40449
39;305626;12042;11395
40;305928;3336;3284
41;306045;2140;2091
42;306100;32462;32424
43;306126;36687;36436
44;306398;167649;169722
45;306754;6462;6446
46;306762;33879;34139
47;306886;129686;130385
48;307319;35145;34840
49;307751;8624;8571
50;308811;9706;9734
51;309028;50180;51423
52;309087;26100;25937
53;309222;527295;511568
54;309524;7770;7569
55;309907;31868;30362
56;310239;10424;10671
57;310247;92797;95153
58;310522;28628;35163
59;311057;2698;2612
60;311146;9530;9429
61;311294;29956;30267
62;311359;27376;27513
63;311375;34984;35149
64;311472;4094;3884
65;311618;21645;21602
66;311715;39112;39495
67;311847;80121;80538
68;311944;8651;9043
69;311961;15512;15338
70;312126;140893;140571
71;312282;5533;5542
72;312347;38725;39713
73;312363;397337;372058
74;312592;17437;17515
75;312720;199738;202921
76;312851;127891;127584
77;312924;279810;279061
78;313084;14675;14824
79;313149;5378;5447
80;313211;29561;29795
81;313475;2340;2373
82;313971;11737;10506
83;314099;47087;47629
84;314218;152758;145744
85;314242;10463;10575
86;314251;8492;8471
87;314587;11015;11159
88;314668;53837;54216
89;314706;9601;9785
90;314781;8812;8569
91;315044;21431;21354
92;315265;23967;24444
93;315478;118622;115670
94;315494;11520;12196
95;315567;12631;12554
96;315583;2534;1761
97;315648;13037;12915
98;315729;160589;157431
99;315796;112824;114139
100;316148;41173;42100
101;316458;4532;4535
102;316849;278;279
103;316873;18541;18326
104;316881;40823;41261
105;316903;916;916
106;317012;20163;20029
107;317144;355576;352203
108;317233;12402;11952
109;317632;18973;18992
110;317896;11154;10981
111;318035;24029;24479
112;318213;17651;17637
113;318299;75968;73992
114;318388;28173;27660
115;318477;27924;21075
116;318566;29058;28949
117;319121;212971;214788
118;319180;14460;14379
119;319384;35289;35728
120;319422;24293;24569
121;319708;46888;47031
122;319872;3277;3037
123;319996;373983;372087
124;320251;69036;69944
125;320510;9888;7724
126;320706;100079;100724
127;320820;21863;20753
128;320838;503;543
129;320862;25565;25388
130;320897;15217;15383
131;321044;174385;179298
132;321087;7340;7288
133;321273;120349;121462
134;321320;8556;8653
135;321338;11147;11713
136;321931;12321;12617
137;321958;63643;64189
138;322326;38139;37765
139;322571;36513;36116
140;322831;23989;24170
141;323004;6503;6825
142;323055;18068;18341
143;323080;365859;373768
144;323268;72472;72143
145;323357;11393;11456
146;323926;22733;23306
147;323942;13104;13101
148;323993;26506;26394
149;324159;21013;20838
150;324175;8632;8706
151;324213;854;841
152;324299;8244;8355
153;324345;27298;27262
154;324361;10926;10825
155;324477;13456;12552
156;324493;24286;24529
157;324523;288;288
158;324566;20154;20253
159;324892;3807;3772
160;325031;22263;22295
161;325082;4793;4731
162;325236;52287;53145
163;325465;7136;7203
164;325571;234296;235129
165;326305;2766603;2923027
166;326500;110516;110691
167;326755;77414;79868
168;326861;65710;65249
169;327328;261;261
170;327352;8229;8285
