Código;Operadora;Porte;Região;status
-5274;Anestes Seguros S/A;0;0;inativa
1;Nao Informado;0;0;inativa
43;Sul America Seguro Saude S/A;0;0;inativa
51;Bradesco Dental S.A.;0;0;inativa
477;Sul America Seguradora De Saude S.A.;0;0;inativa
515;Allianz Saude S/A; 1 a 5.000 beneficiarios;Sudeste;ativa
582;Porto Seguro - Seguro Saude S/A; Acima de 500.000 beneficiarios;Sudeste;ativa
701;Unimed Seguros Saude S/A; Acima de 500.000 beneficiarios;Sudeste;ativa
884;Itauseg Saude S.A.; 5.001 a 10.000 beneficiarios;Sudeste;ativa
5622;Sulasaude Participacoes S.A.;0;0;inativa
5711;Bradesco Saude S.A.; Acima de 500.000 beneficiarios;Sudeste;ativa
6246;Sul America Companhia De Seguro Saude; Acima de 500.000 beneficiarios;Sudeste;ativa
6971;Golden Cross Seguradora S/A;0;0;inativa
300136;Unimed Litoral Sul/Rs - Cooperativa De Assi; 20.001 a 50.000 beneficiarios;Sul;ativa
300497;Fundacao Forluminas De Seguridade Social;0;0;inativa
300713;Unimed De Assis Cooperativa De Trabalho Med; 20.001 a 50.000 beneficiarios;Sudeste;ativa
300730;Dental Gold Assistencia Odontologica Ltda.; 50.001 a 100.000 beneficiarios;Nordeste;ativa
300870;Unimed Do Brasil - Conf. Nacional Das Coope; 1 a 5.000 beneficiarios;Sudeste;ativa
301060;Unimed Ituiutaba Cooperativa Trabalho Medic; 10.001 a 20.000 beneficiarios;Sudeste;ativa
301124;Unimed Gurupi Cooperativa De Trabalho Medic; 5.001 a 10.000 beneficiarios;Norte;ativa
301337;Insolvencia Civil De Unimed Paulistana Soci;0;0;inativa
301574;Unimed De Limeira Cooperativa De Trabalho M; 50.001 a 100.000 beneficiarios;Sudeste;ativa
301647;Uniodonto De Fernandopolis Cooperativa Odon; 1 a 5.000 beneficiarios;Sudeste;ativa
301728;Prontomed Planos De Saude Ltda; 50.001 a 100.000 beneficiarios;Sudeste;ativa
301744;Unimed Meio Oeste Catarinense Cooperativa D; 20.001 a 50.000 beneficiarios;Sul;ativa
301949;Odontoprev S/A; Acima de 500.000 beneficiarios;Sudeste;ativa
302147;Prevent Senior Private Operadora De Saude L; Acima de 500.000 beneficiarios;Sudeste;ativa
302228;Unimed Vale Do Corumba Cooperativa De Traba; 5.001 a 10.000 beneficiarios;Centro Oeste;ativa
302627;Caixa De Assistencia Dos Magistrados De Per; 1 a 5.000 beneficiarios;Nordeste;ativa
302872;Amil Saude Ltda.;0;0;inativa
302953;Unimed De Macae Cooperativa De Assistencia; 100.001 a 500.000 beneficiarios;Sudeste;ativa
303178;Unimed De Sobral Sociedade Cooperativa Medi; 10.001 a 20.000 beneficiarios;Nordeste;ativa
303259;Uniodonto Sao Jose Do Rio Preto - Cooperati; 10.001 a 20.000 beneficiarios;Sudeste;ativa
303267;Unimed Jundiai - Cooperativa De Trabalho Me; 100.001 a 500.000 beneficiarios;Sudeste;ativa
303291;Uniodonto Mossoro - Cooperativa Dos Cirurgi; 1 a 5.000 beneficiarios;Nordeste;ativa
303356;Unimed Litoral Cooperativa De Trabalho Medi; 100.001 a 500.000 beneficiarios;Sul;ativa
303623;Centro Trasmontano De Sao Paulo; 100.001 a 500.000 beneficiarios;Sudeste;ativa
303739;Sermed-Saude Ltda.; 50.001 a 100.000 beneficiarios;Sudeste;ativa
303844;Unimed De Andradina - Cooperativa De Trabal; 10.001 a 20.000 beneficiarios;Sudeste;ativa
303976;Unimed Belem Cooperativa De Trabalho Medico; 100.001 a 500.000 beneficiarios;Norte;ativa
304051;Unimed Montes Claros Cooperativa De  Trabal; 20.001 a 50.000 beneficiarios;Sudeste;ativa
304123;Unimed De Avare Cooperativa De Trabalho Med; 10.001 a 20.000 beneficiarios;Sudeste;ativa
304131;Associacao Beneficente De Assistencia A Sau; 5.001 a 10.000 beneficiarios;Sudeste;ativa
304212;On Med Assistencia Medica Ltda; 20.001 a 50.000 beneficiarios;Sul;ativa
304344;Unimed Para De Minas Cooperativa De Trabalh; 20.001 a 50.000 beneficiarios;Sudeste;ativa
304395;Unimed Inconfidentes Cooperativa De Trabalh; 20.001 a 50.000 beneficiarios;Sudeste;ativa
304441;Nacional Odonto Operadora De Planos Odontol; 100.001 a 500.000 beneficiarios;Nordeste;ativa
304468;Unimed Barra Do Garcas - Cooperativa De Tra; 20.001 a 50.000 beneficiarios;Centro Oeste;ativa
304484;Dental Uni - Cooperativa Odontologica; Acima de 500.000 beneficiarios;Sul;ativa
304531;Ame-Assistencia Medica A Empresas Ltda; 10.001 a 20.000 beneficiarios;Sudeste;ativa
304662;Assistencia Medica Sao Paulo S/A;0;0;inativa
304701;Unimed Curitiba - Sociedade Cooperativa De; Acima de 500.000 beneficiarios;Sul;ativa
304883;Unimed De Botucatu Cooperativa De Trabalho; 20.001 a 50.000 beneficiarios;Sudeste;ativa
305227;Unimed Oeste Do Parana - Cooperativa De Tra; 20.001 a 50.000 beneficiarios;Sul;ativa
305421;Uniodonto Rs Federacao Das Uniodontos Do Rg; 20.001 a 50.000 beneficiarios;Sul;ativa
305472;Unimed Regional Sul Goias Coop. De Trabalho; 20.001 a 50.000 beneficiarios;Centro Oeste;ativa
305626;Prontoclinica E Hospitais Sao Lucas S/A; 10.001 a 20.000 beneficiarios;Sudeste;ativa
305740;Uniodonto De Recife - Cooperativa Odontolog; 1 a 5.000 beneficiarios;Nordeste;ativa
305928;Nosamed Assistencia Medica Ltda.; 1 a 5.000 beneficiarios;Sudeste;ativa
306045;Santa Casa De Misericordia De Tupa; 1 a 5.000 beneficiarios;Sudeste;ativa
306100;Unimed Regional De Campo Mourao Coop Trab M; 20.001 a 50.000 beneficiarios;Sul;ativa
306126;Unimed De Rio Claro Sp Cooperativa De Traba; 20.001 a 50.000 beneficiarios;Sudeste;ativa
306398;Unimed - Cooperativa De Servicos De Saude D; 100.001 a 500.000 beneficiarios;Sul;ativa
306622;Amico Saude Ltda;0;0;inativa
306754;Associacao Dos Funcionarios Do Fisco Do Est; 5.001 a 10.000 beneficiarios;Centro Oeste;ativa
306762;Unimed Regional Jau - Cooperativa De Trabal; 20.001 a 50.000 beneficiarios;Sudeste;ativa
306886;Unimed Juiz De Fora Cooperativa De Trabalho; 100.001 a 500.000 beneficiarios;Sudeste;ativa
307319;Caixa De Assistencia Dos Empregados Do Banc; 20.001 a 50.000 beneficiarios;Sul;ativa
307751;Fundacao Compesa De Previdencia E Assistenc; 5.001 a 10.000 beneficiarios;Nordeste;ativa
308811;Unimed Vale Do Piquiri-Cooperativa De Traba; 5.001 a 10.000 beneficiarios;Sul;ativa
309028;Associacao Dos Servidores Municipais, Estad; 50.001 a 100.000 beneficiarios;Sudeste;ativa
309087;Unimed Barbacena - Cooperativa De Trabalho; 20.001 a 50.000 beneficiarios;Sudeste;ativa
309222;Grupo Hospitalar Do Rio De Janeiro Ltda; Acima de 500.000 beneficiarios;Sudeste;ativa
309257;Uniodonto De Jales - Cooperativa Odontologi; 1 a 5.000 beneficiarios;Sudeste;ativa
309338;Hospital Regional De Franca S/A;0;0;inativa
309524;Unimed De Monte Alto - Cooperativa De Traba; 5.001 a 10.000 beneficiarios;Sudeste;ativa
309907;Unimed Palmas Cooperativa De Trabalho Medic; 20.001 a 50.000 beneficiarios;Norte;ativa
310107;Uniodonto De Salvador - Cooperativa De Trab; 1 a 5.000 beneficiarios;Nordeste;ativa
310131;Unimed Planalto - Cooperativa De Trabalho M;0;0;inativa
310239;Pessoal Saude Planos De Assistencia Medica; 10.001 a 20.000 beneficiarios;Sudeste;ativa
310247;Circulo Operario Caxiense; 100.001 a 500.000 beneficiarios;Sul;ativa
310522;Proasa Saude; 20.001 a 50.000 beneficiarios;Centro Oeste;ativa
310981;Odonto Empresas Convenios Dentarios Ltda.; 100.001 a 500.000 beneficiarios;Sudeste;ativa
311057;Unimed Vale Do Urucuia - Cooperativa De Tra; 1 a 5.000 beneficiarios;Sudeste;ativa
311146;Unimed Costa Verde Rj; 5.001 a 10.000 beneficiarios;Sudeste;ativa
311294;Unimed De Ourinhos - Cooperativa De Trabalh; 20.001 a 50.000 beneficiarios;Sudeste;ativa
311359;Fundacao De Saude Itaiguapy; 20.001 a 50.000 beneficiarios;Sul;ativa
311375;Unimed Pelotas/Rs - Cooperativa De Assisten; 20.001 a 50.000 beneficiarios;Sul;ativa
311391;Uniodonto De Manaus - Cooperativa Odontolog; 50.001 a 100.000 beneficiarios;Norte;ativa
311472;Ceam Brasil - Planos De Saude Ltda; 1 a 5.000 beneficiarios;Sudeste;ativa
311618;Unimed Missoes/Rs - Cooperativa De Assisten; 20.001 a 50.000 beneficiarios;Sul;ativa
311669;Uniodonto De Avare Cooperativa Odontologica; 10.001 a 20.000 beneficiarios;Sudeste;ativa
311715;Unimed Encosta Da Serra/Rs Sociedade Cooper; 20.001 a 50.000 beneficiarios;Sul;ativa
311847;Unimed Regional Da Baixa Mogiana - Cooperat; 50.001 a 100.000 beneficiarios;Sudeste;ativa
311944;Unimed De Adamantina-Cooperativa De Trabalh; 5.001 a 10.000 beneficiarios;Sudeste;ativa
311961;Unimed De Manaus Coop. Do Trabalho Medico L; 10.001 a 20.000 beneficiarios;Norte;ativa
312126;Fundacao Saude Itau; 100.001 a 500.000 beneficiarios;Sudeste;ativa
312282;Intermedici Piracicaba Assistencia Medica L; 5.001 a 10.000 beneficiarios;Sudeste;ativa
312321;Odonto Jaragua Ltda; 10.001 a 20.000 beneficiarios;Sul;ativa
312347;Unimed Anapolis Cooperativa De Trabalho Med; 20.001 a 50.000 beneficiarios;Centro Oeste;ativa
312363;Unimed Do Est. Do Rj Federacao Est. Das Coo; 100.001 a 500.000 beneficiarios;Sudeste;ativa
312592;Unimed Norte Fluminense Cooperativa De Trab; 10.001 a 20.000 beneficiarios;Sudeste;ativa
312720;Unimed Do Estado Do Parana Federacao Estadu; 100.001 a 500.000 beneficiarios;Sul;ativa
312851;Unimed Campo Grande Ms Cooperativa De Traba; 100.001 a 500.000 beneficiarios;Centro Oeste;ativa
312924;Caixa Economica Federal; 100.001 a 500.000 beneficiarios;Centro Oeste;ativa
313084;Cooperativa De Trabalho Medico De Araguaina; 10.001 a 20.000 beneficiarios;Norte;ativa
313149;Unimed De Batatais - Cooperativa De Trabalh; 5.001 a 10.000 beneficiarios;Sudeste;ativa
313211;Unimed Vale Do Cai/Rs - Cooperativa De Assi; 20.001 a 50.000 beneficiarios;Sul;ativa
313475;Unimed Regional De Picos - Cooperativa De T; 1 a 5.000 beneficiarios;Nordeste;ativa
313751;Uniodonto De Sao Jose Dos Campos Cooperativ; 100.001 a 500.000 beneficiarios;Sudeste;ativa
313807;Uniodonto Dourados - Cooperativa Odontologi; 5.001 a 10.000 beneficiarios;Centro Oeste;ativa
313971;Federacao Das Sociedades Cooperativas De Tr; 5.001 a 10.000 beneficiarios;Norte;ativa
314099;Unimed Vale Do Sepotuba - Cooperativa De Tr; 20.001 a 50.000 beneficiarios;Centro Oeste;ativa
314170;Insolvencia Civil De Cooperativa De Usuario;0;0;inativa
314218;Associacao De Beneficencia E Filantropia Sa; 100.001 a 500.000 beneficiarios;Sudeste;ativa
314242;Unimed De Pirassununga Cooperativa De Traba; 10.001 a 20.000 beneficiarios;Sudeste;ativa
314251;Caixa Assistencial Universitaria Do Rio Gra; 5.001 a 10.000 beneficiarios;Nordeste;ativa
