linha;Código;janeiro;fevereiro;março;abril;maio;junho
1;-5274;0;1;0;0;0;0
2;1;4;5;9;5;9;7
3;43;10;6;3;2;9;15
4;477;41;44;53;41;39;33
5;515;1;1;0;1;0;0
6;582;366;370;370;372;394;416
7;701;405;452;490;507;497;489
8;884;4;4;5;1;1;5
9;5711;2545;2476;2393;2538;2712;2461
10;6246;1898;1766;1768;1839;2004;1920
11;300136;2;1;3;3;5;6
12;300497;0;0;3;0;0;0
13;300713;3;3;3;3;0;2
14;301060;2;1;1;1;2;0
15;301124;1;1;0;4;4;0
16;301574;7;5;8;2;3;0
17;301728;3;0;3;5;0;2
18;301744;2;1;5;5;2;2
19;301949;78;74;72;72;76;73
20;302147;638;532;389;374;401;443
21;302872;2;2;1;1;3;1
22;302953;20;12;16;14;22;28
23;303178;2;3;2;4;5;5
24;303267;18;21;22;32;32;24
25;303356;6;7;14;5;13;10
26;303623;55;68;51;55;63;76
27;303739;2;5;4;5;1;6
28;303844;0;0;1;0;1;1
29;303976;181;159;156;166;154;197
30;304051;110;156;119;133;105;141
31;304123;0;0;1;0;1;1
32;304131;1;0;0;1;2;0
33;304212;2;6;3;3;8;12
34;304344;0;0;1;2;1;1
35;304395;2;2;3;3;2;0
36;304441;0;0;1;0;0;1
37;304468;6;1;1;0;2;6
38;304484;10;12;11;19;13;4
39;304662;1;0;0;0;1;0
40;304701;175;167;199;161;220;196
41;304883;1;1;1;1;4;1
42;305227;3;2;2;4;1;0
43;305472;3;4;3;3;1;1
44;305626;22;12;22;6;15;18
45;306100;2;1;1;0;3;1
46;306126;1;0;1;4;1;2
47;306398;26;17;17;24;15;18
48;306622;1;1;0;2;1;2
49;306754;1;0;0;0;0;0
50;306762;0;0;2;3;1;2
51;306886;33;26;22;24;34;21
52;307319;2;0;2;4;5;3
53;307751;0;0;1;2;1;0
54;308811;1;0;0;1;2;0
55;309087;2;1;6;3;3;1
56;309222;405;323;331;350;314;270
57;309907;2;3;0;6;9;4
58;310107;1;0;0;0;0;0
59;310239;8;6;11;9;2;1
60;310247;10;6;6;2;5;7
61;310522;7;5;4;4;8;10
62;310981;11;0;5;3;5;4
63;311146;3;3;8;2;3;2
64;311294;2;1;2;4;1;2
65;311359;3;5;5;1;3;1
66;311375;3;10;5;2;9;5
67;311472;11;8;4;4;5;3
68;311618;1;0;0;0;0;2
69;311715;0;0;3;0;1;1
70;311847;5;6;9;6;2;5
71;311961;33;16;19;15;23;21
72;312126;28;32;32;45;41;35
73;312347;11;7;9;7;8;11
74;312363;2822;2522;2305;1947;2092;1885
75;312592;1;3;1;1;3;7
76;312720;28;50;38;50;33;30
77;312851;30;19;22;27;38;26
78;312924;153;164;168;214;189;234
79;313084;2;1;0;1;0;1
80;313211;0;0;2;2;2;1
81;313475;1;1;0;1;0;1
82;313971;79;75;66;62;73;62
83;314099;4;3;2;2;6;3
84;314170;0;0;1;0;0;0
85;314218;161;176;177;282;285;207
86;314242;1;0;0;2;0;1
